,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed,rain_binary
2558,25.6,15.8,20.8,20.8,27.4,33.1,23.4,9.7,43.6,1
2559,14.4,10.6,11.4,14.4,26.8,32,23.7,8.6,44.3,1
2560,0,0,0,0,27.3,32.6,24.9,9.7,27.4,0
2561,0,0,0,0,27.6,33.4,25.1,9.4,33.1,0
2562,22.2,10,11.6,15.2,26,30.5,23.2,8.3,33.1,1
2563,18.4,14.8,16,16.4,26.6,32,24.1,7.2,31.3,1
2564,0,0,0,0,0,30.9,25.3,9,28.1,0
2565,0,0,0,0,27.4,31.4,25,14.8,38.9,0
2566,0.6,0.4,0.4,0.6,0,30.7,25,17.3,49,1
2567,2.4,1.4,1.4,1.4,26.1,29.2,24.3,16.2,59.4,1
2568,1.4,0.8,0.8,0.8,26,29,23.8,14.8,57.2,1
2569,2,1,1,1.2,26.1,29.2,23.3,18.7,56.2,1
2570,5.4,2.6,2.6,2.6,25.1,28.7,22.6,14.8,44.6,1
2571,0,0,0,0,26.2,29.4,24.2,15.1,44.3,0
2572,0,0,0,0,26.8,30.5,24.4,14,42.1,0
2573,0,0,0,0,26.7,30.6,24.6,15.5,40.7,0
2574,0.8,0.8,0.8,0.8,27.2,30.6,25,13.7,39.6,1
2575,0,0,0,0,27.3,31.2,25.1,13,41,0
2576,7.4,4.4,4.4,7.4,26.7,31.5,24.8,8.6,28.1,1
2577,0,0,0,0,0,31.2,25.3,10.1,38.9,0
2578,20.8,15.8,19,20.8,26.6,32.4,23.6,7.2,32,1
2579,19.8,8.8,13.2,14.2,24.7,27.4,23.6,6.8,37.4,1
2580,0,0,0,0,26.6,31.5,23.6,8.3,37.1,0
2581,0,0,0,0,27.5,31.4,25.2,10.8,38.5,0
2582,0,0,0,0,27.2,30.2,25.3,14.4,50,0
2583,12.4,9.2,9.2,9.2,0,29.1,24.2,11.9,54.4,1
2584,29.6,10.2,11.2,11.2,24.8,27.4,23.3,9.4,38.2,1
2585,0.2,0.2,0.2,0.2,0,29.9,24.4,13.7,46.1,1
2586,6.8,2.2,3,4,25.7,27.9,23.7,11.5,47.2,1
2587,29.6,14.6,14.6,14.6,25.3,28.1,23.5,7.6,31.3,1
2588,0.8,0.8,0.8,0.8,26.8,30.6,24.3,9.7,30.2,1
2589,4,3.6,3.6,3.6,26.9,32.3,24.5,8.3,31.7,1
2590,10.4,8.2,10.4,10.4,27.1,32.7,24.7,7.2,28.1,1
2591,0.2,0.2,0.2,0.2,27.1,31,24.5,13.3,38.9,1
2592,0,0,0,0,27.1,31.4,24.5,14.8,36,0
2593,0,0,0,0,26.9,30.5,24.4,14.4,34.6,0
2594,0,0,0,0,27.2,31.8,24.8,11.5,47.5,0
2595,41.8,32.6,39.8,41.6,26.5,30.4,23.4,6.8,25.9,1
2596,0,0,0,0,28.2,34.4,25.2,7.6,26.3,0
2597,4.4,4.4,4.4,4.4,27,30.7,23.7,8.3,35.6,1
2598,0,0,0,0,29.2,34.8,25.5,6.8,26.6,0
2599,20.4,9.8,10.8,13,0,32.7,23.4,10.4,30.6,1
2600,2.2,2.2,2.2,2.2,26.7,32.6,24.2,6.8,36.7,1
2601,0,0,0,0,0,31.9,25.1,6.8,24.8,0
2602,24,23.2,24,24,27.8,34,23.9,6.5,40.3,1
2603,13,5,5,5.8,0,29.1,24.1,6.8,34.2,1
2604,0,0,0,0,28.1,34,25.1,8.3,34.2,0
2605,5.4,5,5.4,5.4,27.5,33.4,24.5,9,58.3,1
2606,0,0,0,0,28.6,33.5,25.7,10.8,34.2,0
2607,2.4,2.4,2.4,2.4,28.5,32.7,26.4,8.3,25.2,1
2608,46.4,21.2,33.6,40.8,27.1,32.9,23.8,7.6,41,1
2609,0,0,0,0,28.6,33.4,25.5,10.8,39.6,0
2610,0,0,0,0,28.6,31.7,26.1,10.1,31.7,0
2611,2.8,1.6,2.2,2.2,26.2,28.7,24.2,7.6,29.2,1
2612,9.2,9,9,9,26.5,31.6,25.1,4.7,26.6,1
2613,7.2,2.4,2.8,3.4,25.3,30.7,23.7,6.1,37.8,1
2614,0.6,0.6,0.6,0.6,27.2,33.2,24.9,4.7,21.6,1
2615,5.2,4,4.8,5.2,26.7,31.7,24.5,5.8,31.7,1
2616,0,0,0,0,27.4,31.6,25,8.3,32,0
2617,1.6,0.8,1,1,26.9,28.7,24.8,6.8,25.6,1
2618,11.2,9.6,11,11.2,28.2,31.9,23.3,8.6,39.6,1
2619,0,0,0,0,28.4,31.6,25.4,10.1,36,0
2620,3.2,3.2,3.2,3.2,28.6,32.5,26.8,7.6,27.7,1
2621,3.6,1.2,1.8,2.8,27.7,33,23.9,8.3,48.6,1
2622,9,7,7.4,8.2,26.8,28.9,24.4,6.1,36.7,1
2623,0,0,0,0,27.6,34.5,24.9,5.8,26.3,0
2624,0,0,0,0,28,32.4,25.3,6.1,25.9,0
2625,0,0,0,0,28.6,33.3,25.8,7.2,31.3,0
2626,0.2,0.2,0.2,0.2,28.5,31.8,25.5,5.4,22,1
2627,35.2,16.4,28.4,29.8,26.8,30.6,23.3,5.8,33.1,1
2628,0.8,0.6,0.6,0.6,26.9,31.6,24.5,6.5,27.4,1
2629,0.2,0.2,0.2,0.2,27.9,31.8,25.5,8.6,40,1
2630,0.2,0.2,0.2,0.2,28.1,34.5,25.3,6.1,28.8,1
2631,4.8,3.8,4.8,4.8,28.3,32.2,23.8,7.6,53.6,1
2632,39.8,15.4,24,34.6,26.7,32.5,24,6.8,30.2,1
2633,10.8,8.4,10.4,10.6,27.5,33.8,24.1,5,31.3,1
2634,2,2,2,2,27.7,32.5,25.4,5,33.8,1
2635,14.8,10.2,11.6,12.6,27.4,31.5,23.6,7.9,38.9,1
2636,0,0,0,0,27.9,30.2,25.3,6.5,26.6,0
2637,0,0,0,0,28.1,32,26,5.4,23.4,0
2638,15.8,9.6,11.8,14.8,26.7,32.3,24.5,5.8,28.1,1
2639,10.4,10,10.4,10.4,26.5,32,24.8,5,26.3,1
2640,41.6,32.6,41.2,41.4,27.1,30.7,24.3,6.1,27,1
2641,0,0,0,0,27.7,33,24.8,7.9,32,0
2642,0,0,0,0,0,0,0,0,0,0
2643,0,0,0,0,0,0,0,0,0,0
2644,27.6,25,27.6,27.6,28.5,33.8,25.7,5.8,35.3,1
2645,0,0,0,0,28.9,33.7,26,5,22.3,0
2646,0,0,0,0,0,0,0,0,0,0
2647,0,0,0,0,0,0,0,0,0,0
2648,0,0,0,0,28.7,32,26.7,5,23.8,0
2649,0,0,0,0,0,0,0,0,0,0
2650,0,0,0,0,0,0,0,0,0,0
2651,0.2,0.2,0.2,0.2,27.7,30.9,25.9,6.1,31,1
2652,0,0,0,0,28.4,31.7,25.6,6.8,24.1,0
2653,0,0,0,0,0,0,0,0,0,0
2654,0,0,0,0,0,0,0,0,0,0
2655,0,0,0,0,28.1,31.8,25.3,6.1,21.6,0
2656,0,0,0,0,28.6,31.5,26,6.5,36,0
2657,0,0,0,0,0,0,0,0,0,0
2658,4.8,4.6,4.8,4.8,0,0,0,7.6,25.2,1
2659,12.4,11.4,11.6,11.8,28.1,31.5,24.9,6.1,44.6,1
2660,1.8,1.8,1.8,1.8,28.9,32.8,27,5.8,33.8,1
2661,0,0,0,0,0,0,0,0,0,0
2662,0,0,0,0,0,0,0,7.9,40,0
2663,0.2,0.2,0.2,0.2,29.6,32.9,27.9,5.8,25.9,1
2664,0,0,0,0,29.9,34.1,28,5.4,28.4,0
2665,0,0,0,0,0,0,0,0,0,0
2666,0,0,0,0,0,0,0,0,0,0
2667,1.6,1.6,1.6,1.6,0,33.5,27.2,6.5,31.3,1
2668,29,12,14.6,23.8,26.4,29.2,23.3,6.5,46.1,1
2669,0,0,0,0,28.1,32.1,25.1,6.8,32.8,0
2670,0,0,0,0,0,0,0,0,0,0
2671,1.2,0.6,0.6,1,27.5,32.9,25.5,5.8,43.9,1
2672,0,0,0,0,28.9,31.8,26,5.8,20.9,0
2673,2.6,2.2,2.6,2.6,0,0,0,6.5,32.8,1
2674,12,5.2,5.6,10.6,26.6,30.2,23.2,6.5,44.6,1
2675,42,33.2,36.4,38,28.1,34.7,23,6.8,53.3,1
2676,6.2,1.8,2.6,4.8,0,0,0,6.1,20.5,1
2677,0,0,0,0,29.3,33,27.2,5.4,18.4,0
2678,0,0,0,0,30.1,34.3,27.6,6.1,26.3,0
2679,0,0,0,0,30.4,34.1,28,6.8,26.3,0
2680,0,0,0,0,0,0,0,6.1,23,0
2681,0,0,0,0,29.9,32.9,28.3,6.5,25.6,0
2682,0.4,0.4,0.4,0.4,29.8,34.4,26.8,6.5,24.1,1
2683,5.2,5,5,5,29.1,33.6,27,8.6,29.2,1
2684,0,0,0,0,0,0,0,6.5,23,0
2685,11.4,6.4,6.4,6.4,28.4,33.8,24.8,6.1,30.2,1
2686,0,0,0,0,28.2,32.5,24.8,6.1,26.6,0
2687,0,0,0,0,0,0,0,6.1,19.8,0
2688,0,0,0,0,29,33.3,25.7,7.6,34.2,0
2689,0.2,0.2,0.2,0.2,27.4,32.3,24.8,7.2,41,1
2690,0,0,0,0,0,0,0,5.8,13.3,0
2691,0,0,0,0,0,0,0,6.8,27.4,0
2692,0,0,0,0,29,34.2,25.7,6.1,23,0
2693,24,15.4,19.8,20.4,26.8,29.9,23,7.6,54,1
2694,0,0,0,0,0,0,0,6.5,27,0
2695,0,0,0,0,29.1,32.8,25.8,6.1,28.4,0
2696,0,0,0,0,28.5,32.1,27.1,5.4,22.3,0
2697,0,0,0,0,0,0,0,4.3,11.5,0
2698,1.2,0.8,1,1,0,0,0,9.7,67.3,1
2699,0,0,0,0,28.8,32.3,26,6.1,22.3,0
2700,7.6,5.2,6.8,7.6,27.4,30.2,24,4.7,41.8,1
2701,0,0,0,0,0,0,0,0,0,0
2702,0,0,0,0,0,0,0,0,0,0
2703,14.8,12.4,13.8,13.8,27,32.9,24.2,5.4,35.3,1
2704,0,0,0,0,0,0,0,0,0,0
2705,0,0,0,0,0,0,0,6.1,20.9,0
2706,0,0,0,0,29.3,32.6,26.9,6.5,28.8,0
2707,0,0,0,0,0,0,0,0,0,0
2708,0,0,0,0,0,0,0,0,0,0
2709,0,0,0,0,28.7,32.2,25.8,6.1,27.4,0
2710,0,0,0,0,0,0,0,0,0,0
2711,0,0,0,0,0,0,0,7.6,32,0
2712,0,0,0,0,28.9,31.9,26.6,6.8,29.5,0
2713,3.4,2.2,2.2,3.4,28.3,31.5,24.8,6.8,33.1,1
2714,0,0,0,0,0,0,0,0,0,0
2715,0.6,0.6,0.6,0.6,0,0,0,6.1,27,1
2716,0.6,0.4,0.4,0.6,27.7,29.9,25.7,8.3,32,1
2717,6.8,2.4,4,5.8,26.1,28.1,23.2,7.2,47.5,1
2718,6,3.2,3.4,5.6,27.5,31.4,24.7,5.8,28.8,1
2719,35,19.6,30.4,33.6,26.1,28.3,22.9,5,54.4,1
2720,0.2,0.2,0.2,0.2,27.4,31.7,24.4,6.5,28.4,1
2721,0,0,0,0,28.5,32.4,26.3,9,40.3,0
2722,0,0,0,0,28.8,32.1,26.4,7.6,36,0
2723,0,0,0,0,28.7,31.3,27,6.8,28.4,0
2724,0,0,0,0,28.9,32.2,26.5,6.1,21.6,0
2725,0.4,0.4,0.4,0.4,28.5,31.6,26.9,6.1,25.2,1
2726,0,0,0,0,29.5,33.1,27.2,7.2,25.9,0
2727,0,0,0,0,29.8,33.8,27.5,7.6,24.1,0
2728,0,0,0,0,0,0,0,7.6,27.4,0
2729,0,0,0,0,0,0,0,0,0,0
2730,0,0,0,0,0,0,0,0,0,0
2731,0,0,0,0,0,0,0,0,0,0
2732,0,0,0,0,0,0,0,0,0,0
2733,0,0,0,0,0,0,0,0,0,0
2734,0,0,0,0,0,0,0,0,0,0
2735,0,0,0,0,0,0,0,0,0,0
2736,0,0,0,0,0,0,0,0,0,0
2737,0,0,0,0,29.5,33,25.2,7.2,56.9,0
2738,0,0,0,0,29.5,32.4,28,9,33.8,0
2739,0,0,0,0,29.2,32.3,27,8.3,37.8,0
2740,0,0,0,0,29.4,33.1,27.1,7.9,29.2,0
2741,0,0,0,0,29.5,33,27.4,8.6,31.3,0
2742,0,0,0,0,28.8,33.7,25.7,7.6,33.5,0
2743,0,0,0,0,28.4,31.1,25.7,6.8,29.9,0
2744,0,0,0,0,27.2,29.8,24.1,7.2,34.9,0
2745,0,0,0,0,27.2,30.9,24.7,6.8,28.4,0
2746,0,0,0,0,28.7,32.2,25.5,6.1,33.1,0
2747,30.8,17,23,25.4,26.6,29.3,23.3,5,33.5,1
2748,5,3.4,3.6,4.6,26.3,28.9,24.3,6.5,29.5,1
2749,0,0,0,0,26.9,28.7,25,7.2,23.8,0
2750,0,0,0,0,28.2,32,25.5,6.1,27.4,0
2751,11.2,6.4,10.2,11.2,26.2,27.5,23,6.5,33.5,1
2752,0,0,0,0,28.2,32.6,25.5,5.4,24.1,0
2753,66.2,45.4,57.4,61.6,26.9,31.4,23,8.3,38.2,1
2754,3.8,3.6,3.6,3.6,27.2,31.2,24.4,7.2,35.6,1
2755,0,0,0,0,28.3,32.8,26.3,8.3,42.8,0
2756,0,0,0,0,29.2,32.6,26.9,7.6,29.5,0
2757,14.6,11.8,14.4,14.6,28.1,32.8,25.2,6.8,32.4,1
2758,0,0,0,0,27.3,29.4,25,6.8,29.9,0
2759,0,0,0,0,29,32.5,26,6.5,29.5,0
2760,0,0,0,0,28.6,32,26,6.5,36.4,0
2761,0,0,0,0,28.1,31.5,25.5,6.8,29.5,0
2762,0,0,0,0,28.6,32,26.2,6.1,27.4,0
2763,0,0,0,0,27.5,31.5,25,6.8,32.8,0
2764,0,0,0,0,28,31.8,26.1,5.8,24.8,0
2765,0.2,0.2,0.2,0.2,26.7,29.4,25,5.8,22.3,1
2766,0.4,0.2,0.2,0.2,27.3,32.5,25.3,6.5,34.9,1
2767,0.4,0.4,0.4,0.4,28.6,32.8,25.2,7.9,29.5,1
2768,1.2,1.2,1.2,1.2,29.4,33.1,27.2,8.3,32,1
2769,0,0,0,0,28.8,34.3,25.8,9,31.3,0
2770,0,0,0,0,29.2,32.1,27.4,11.2,36.7,0
2771,0,0,0,0,28.9,32.7,25.5,6.1,31.7,0
2772,0.8,0.4,0.4,0.4,28.7,32.2,26.1,7.6,33.5,1
2773,9.8,7,9.4,9.6,26.8,29.6,24,5.4,28.4,1
2774,0,0,0,0,28.4,32.5,25.5,5.8,25.2,0
2775,37.4,21.8,29.8,37.4,27.2,32.4,23.5,6.5,49.7,1
2776,0.2,0.2,0.2,0.2,28,32,26,4.3,35.6,1
2777,1.4,0.6,0.6,0.6,27.2,31.1,25.2,5.8,47.5,1
2778,16.4,14,14.8,15.2,26.2,29.9,23,6.1,34.2,1
2779,0,0,0,0,28.8,33.8,25.2,6.1,25.6,0
2780,0,0,0,0,29.3,33.6,25.5,6.8,26.6,0
2781,7.4,3.8,3.8,3.8,27.9,31.2,25.7,5,33.8,1
2782,4.4,1.4,1.8,2.4,26.8,28.7,25.1,5,31,1
2783,0.6,0.4,0.6,0.6,27,30.1,24.3,7.9,33.8,1
2784,1.6,1,1.2,1.2,28.7,33.6,26.7,7.9,40.7,1
2785,21.2,17.8,19,20,26.3,31.7,22.1,5.4,60.8,1
2786,14.2,9.6,10.4,11.2,26.1,30.2,24,5.8,28.4,1
2787,5.6,3.8,3.8,3.8,26.8,30,23.9,8.3,46.1,1
2788,7.6,3.4,4.4,6,26.8,30.7,23.5,6.1,39.6,1
2789,3.8,3.8,3.8,3.8,28.4,31.8,24.8,5.8,32,1
2790,1,0.6,1,1,28.8,32.9,25.3,5.8,28.4,1
2791,0.2,0.2,0.2,0.2,28.7,32.6,24.9,5.8,36.7,1
2792,3.2,2.8,3.2,3.2,28.3,32.7,24.1,6.5,49.3,1
2793,7.4,6.2,7.2,7.2,26.8,32.6,23.7,5.8,47.5,1
2794,0,0,0,0,27.4,30.6,24.4,6.1,34.2,0
2795,0.4,0.2,0.4,0.4,28,31.2,25.3,5,28.1,1
2796,14.4,8,12.2,14.2,26.9,29.7,23,6.5,51.8,1
2797,0,0,0,0,27.5,30.7,25.5,9,33.8,0
2798,11.2,7,7.6,8.4,26.6,30,25.3,6.1,29.5,1
2799,0,0,0,0,27.5,31.4,24.8,6.8,32.4,0
2800,0.2,0.2,0.2,0.2,27.2,32.1,25.6,6.1,29.9,1
2801,8.8,4.6,7.4,7.8,25.6,27.6,22.9,5.8,38.5,1
2802,2.4,2,2.2,2.2,26.8,30.8,24.3,5,25.6,1
2803,23.2,18.2,18.4,23.2,27.2,32.8,24.5,5.4,29.9,1
2804,11.4,5.4,8.4,11.4,27.3,33.2,24.1,6.5,42.8,1
2805,5.2,4.4,4.8,5,27.1,32,24.6,6.1,31.3,1
2806,4,3.4,3.8,4,27.9,32.1,24,8.3,33.1,1
2807,1.4,0.4,0.6,0.6,28,32.3,24,6.8,28.1,1
2808,10.4,8.6,9.6,10.2,28.3,32.1,23.7,8.3,41.4,1
2809,1.2,0.6,0.6,0.6,27.2,29.4,24.7,5.8,29.9,1
2810,1.8,1,1.2,1.6,27,30.6,24.4,7.6,35.6,1
2811,0,0,0,0,29.2,33.3,26.4,7.2,25.2,0
2812,0,0,0,0,29.6,33.5,26.9,7.2,29.9,0
2813,2.2,2.2,2.2,2.2,28.8,32.3,24,7.2,45.4,1
2814,0,0,0,0,30.3,34.1,27.6,6.1,28.8,0
2815,0,0,0,0,30.3,34.8,26.8,8.3,29.2,0
2816,0,0,0,0,29.6,33.3,27,7.6,29.2,0
2817,0,0,0,0,29.5,33.8,26.2,7.2,26.3,0
2818,0,0,0,0,29.7,33.8,26.9,7.6,31.7,0
2819,0,0,0,0,29.1,32,27,7.2,28.4,0
2820,0,0,0,0,28.3,31.2,26.7,6.1,24.5,0
2821,1.8,1.6,1.6,1.6,27.4,31.4,25.9,6.1,22.3,1
2822,6.2,5.8,6,6.2,27.7,35.3,25.3,6.8,34.9,1
2823,0.2,0.2,0.2,0.2,27.7,32.9,25.8,6.1,23,1
2824,0,0,0,0,27.6,31.3,25.6,6.1,23.8,0
2825,0,0,0,0,28.4,33.4,25.5,9,34.2,0
2826,14.6,13.4,14.2,14.4,26.4,32,24.3,6.5,39.2,1
2827,5.2,2.2,2.2,3.2,26.5,29.1,24.7,6.1,23.8,1
2828,3.4,2.4,2.8,3.2,26.1,28.2,23.2,6.1,53.3,1
2829,0,0,0,0,27.4,31.9,25.3,6.1,28.1,0
2830,0,0,0,0,27.5,30.4,25.3,6.5,31,0
2831,22.8,17.4,20.8,21.2,27.6,32.1,23.7,7.6,38.9,1
2832,7.6,1.4,2.4,4,27.1,32.8,23.9,6.5,44.6,1
2833,16.6,12.6,15.4,15.4,27.9,32.5,24.6,5.8,20.9,1
2834,54.8,18,23.4,28.8,26.2,30.1,22.7,6.1,24.1,1
2835,4,2.2,2.8,3.8,26.6,30.8,24.8,6.1,23.8,1
2836,2.8,2.4,2.6,2.8,26.7,30.3,23.9,10.4,33.5,1
2837,62.2,26.2,29.4,43.8,26.4,31.8,23.2,7.2,29.2,1
2838,56.8,40.8,47.4,53.4,26,31.4,23.4,5.8,31.7,1
2839,20.4,9,13.2,18.2,25.7,29.7,24.4,4.7,38.2,1
2840,0.8,0.6,0.6,0.6,27.2,30.3,25.1,7.6,34.9,1
2841,12,9.4,11.2,11.8,27.4,33.8,25,6.1,42.8,1
2842,55.2,27.8,38.8,48.4,25.9,27.1,23.3,6.5,29.2,1
2843,0,0,0,0,26.9,31.6,24.8,6.8,29.5,0
2844,16.2,14.4,16.2,16.2,27.8,33,25,6.5,31.3,1
2845,0.2,0.2,0.2,0.2,27.5,31.7,24.2,6.5,44.3,1
2846,58,47.8,55.6,56.4,27.6,34.5,23.2,5,40.3,1
2847,0,0,0,0,28.2,31.7,26.1,7.2,28.4,0
